+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                        ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                    ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; demosys_inst|mm_interconnect_1|rsp_mux|arb                                                                                                                                                                                                   ; 7     ; 0              ; 4            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|rsp_mux                                                                                                                                                                                                       ; 330   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|rsp_demux_003                                                                                                                                                                                                 ; 112   ; 1              ; 2            ; 1              ; 110    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|rsp_demux_002                                                                                                                                                                                                 ; 112   ; 1              ; 2            ; 1              ; 110    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|rsp_demux_001                                                                                                                                                                                                 ; 112   ; 1              ; 2            ; 1              ; 110    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|rsp_demux                                                                                                                                                                                                     ; 113   ; 4              ; 2            ; 4              ; 219    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_mux_003                                                                                                                                                                                                   ; 112   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_mux_002                                                                                                                                                                                                   ; 112   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_mux_001                                                                                                                                                                                                   ; 112   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_mux|arb|adder                                                                                                                                                                                             ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_mux|arb                                                                                                                                                                                                   ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_mux                                                                                                                                                                                                       ; 221   ; 0              ; 0            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_demux_001                                                                                                                                                                                                 ; 113   ; 4              ; 2            ; 4              ; 219    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|cmd_demux                                                                                                                                                                                                     ; 114   ; 9              ; 2            ; 9              ; 328    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_005|the_default_decode                                                                                                                                                                                 ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_005                                                                                                                                                                                                    ; 108   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_004|the_default_decode                                                                                                                                                                                 ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_004                                                                                                                                                                                                    ; 108   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_003|the_default_decode                                                                                                                                                                                 ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_003                                                                                                                                                                                                    ; 108   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_002|the_default_decode                                                                                                                                                                                 ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_002                                                                                                                                                                                                    ; 108   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_001|the_default_decode                                                                                                                                                                                 ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router_001                                                                                                                                                                                                    ; 108   ; 0              ; 4            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router|the_default_decode                                                                                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|router                                                                                                                                                                                                        ; 108   ; 0              ; 4            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s2_agent_rsp_fifo                                                                                                                                                                            ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s2_agent|uncompressor                                                                                                                                                                        ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s2_agent                                                                                                                                                                                     ; 293   ; 39             ; 41           ; 39             ; 320    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s1_agent_rsp_fifo                                                                                                                                                                            ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s1_agent|uncompressor                                                                                                                                                                        ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s1_agent                                                                                                                                                                                     ; 293   ; 39             ; 41           ; 39             ; 320    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|edac_sdram_controller_0_porta_agent_rsp_fifo                                                                                                                                                                  ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|edac_sdram_controller_0_porta_agent|uncompressor                                                                                                                                                              ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|edac_sdram_controller_0_porta_agent                                                                                                                                                                           ; 293   ; 39             ; 41           ; 39             ; 320    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_debug_mem_slave_agent_rsp_fifo                                                                                                                                                                   ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_debug_mem_slave_agent|uncompressor                                                                                                                                                               ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_debug_mem_slave_agent                                                                                                                                                                            ; 293   ; 39             ; 41           ; 39             ; 320    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_instruction_master_agent                                                                                                                                                                         ; 183   ; 35             ; 78           ; 35             ; 140    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_data_master_agent                                                                                                                                                                                ; 183   ; 35             ; 78           ; 35             ; 140    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s2_translator                                                                                                                                                                                ; 111   ; 7              ; 15           ; 7              ; 86     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|onchip_memory2_0_s1_translator                                                                                                                                                                                ; 111   ; 7              ; 15           ; 7              ; 86     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|edac_sdram_controller_0_porta_translator                                                                                                                                                                      ; 111   ; 4              ; 3            ; 4              ; 93     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_debug_mem_slave_translator                                                                                                                                                                       ; 111   ; 5              ; 19           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_instruction_master_translator                                                                                                                                                                    ; 112   ; 51             ; 0            ; 51             ; 104    ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1|nios2_gen2_0_data_master_translator                                                                                                                                                                           ; 112   ; 12             ; 0            ; 12             ; 104    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|mm_interconnect_1                                                                                                                                                                                                               ; 229   ; 0              ; 0            ; 0              ; 277    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig7                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig6                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig5                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig4                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig3                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig2                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig1                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0|dig0                                                                                                                                                                                     ; 7     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|sevensegment_avalon_master_interface_0                                                                                                                                                                                          ; 36    ; 58             ; 0            ; 58             ; 115    ; 58              ; 58            ; 58              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                                                                                  ; 104   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|onchip_memory2_0                                                                                                                                                                                                                ; 108   ; 1              ; 1            ; 1              ; 64     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_debug_slave_wrapper|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_debug_slave_wrapper|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_debug_slave_wrapper                                                                                  ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_ocimem|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_ocimem|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_ocimem                                                                                         ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_avalon_reg                                                                                     ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_im                                                                                         ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_pib                                                                                        ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_fifo|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_fifo|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_fifo|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_fifo                                                                                       ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_dtrace|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_dtrace                                                                                     ; 113   ; 0              ; 102          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_itrace                                                                                     ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_dbrk                                                                                       ; 98    ; 0              ; 0            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_xbrk                                                                                       ; 64    ; 5              ; 61           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_break                                                                                      ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci_debug                                                                                      ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_nios2_oci                                                                                                                                                      ; 176   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_register_bank_b                                                                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_register_bank_a                                                                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu|the_EDAC_SDRAM_Controller_Demo_nios2_gen2_0_cpu_test_bench                                                                                                                                                     ; 318   ; 3              ; 284          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; demosys_inst|nios2_gen2_0|cpu                                                                                                                                                                                                                ; 149   ; 1              ; 32           ; 1              ; 131    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
